derby,year,month,days,members,total_catch,n_over_10,n_over_5,size_1,size_2,size_3,size_4,size_5
1,1946,Dec,4,172,,12,38,6.46,6.38,5.78,5.67,5.50
2,1947,Feb,2,91,,5,21,7.46,7.06,6.72,5.39,5.02
3,1947,Dec,5,161,,8,42,9.87,6.86,5.67,5.26,5.22
4,1948,Nov,8,147,,7,38,6.63,6.38,6.24,5.33,5.26
5,1949,Dec,7,149,,6,85,10.15,6.83,6.41,5.81,5.10
6,1950,Nov,8,139,141,11,84,8.62,8.42,7.82,6.75,5.75
7,1951,Dec,8,,88,9,29,9.84,9.72,8.28,7.97,5.30
8,1952,Nov,8,137,113,8,44,6.32,5.19,5.19,5.16,4.68
9,1953,Nov,8,156,80,7,36,7.48,7.31,6.55,5.75,5.36
10,1954,Nov,9,148,115,3,58,5.78,5.56,5.41,4.48,3.97
11,1955,Nov,9,109,92,4,36,6.75,5.90,5.30,4.85,4.48
12,1956,Nov,8,134,174,5,81,7.71,5.61,4.90,4.82,4.56
13,1957,Nov,8,160,109,6,58,9.10,6.32,6.05,4.61,4.59
14,1958,Nov,8,119,104,3,28,11.42,5.36,4.93,4.28,4.08
15,1959,Nov,8,190,112,10,74,7.12,6.35,5.87,5.87,5.85
16,1960,Nov,10,156,217,6,61,5.73,5.16,4.82,4.73,4.55
17,1961,Nov,10,114,70,4,42,6.63,4.68,4.59,4.27,4.20
18,1962,Nov,10,157,60,11,45,8.59,6.04,5.84,5.66,5.50
19,1963,Nov,10,122,72,4,41,7.43,6.18,5.95,5.44,4.08
20,1964,Nov,11,125,121,1,43,5.24,4.48,4.34,4.31,4.16
21,1965,Nov,10,119,83,4,59,6.61,6.12,5.95,4.88,4.52
22,1966,Nov,10,117,97,6,60,6.27,5.90,5.81,5.36,4.99
23,1967,Nov,10,117,89,2,27,5.75,5.70,4.08,3.10,2.98
24,1968,Oct,12,106,114,2,25,7.24,6.95,4.22,3.97,3.66
25,1969,Oct,12,105,91,4,42,6.32,5.70,5.19,4.62,4.48
26,1970,Oct,12,130,226,4,47,6.56,6.01,5.97,4.71,3.88
27,1971,Oct,12,123,117,8,21,6.35,6.29,5.93,5.30,5.16
28,1972,Oct,12,110,54,3,10,6.66,5.56,4.08,2.98,2.78
29,1973,Oct,12,103,130,0,7,3.91,2.66,2.52,2.49,2.32
30,1974,Oct,12,165,67,1,10,4.65,4.25,4.08,3.43,3.01
31,1975,Oct,12,168,81,3,12,9.41,5.36,5.13,4.34,3.69
32,1976,t,12,164,152,1,19,6.11,4.45,4.17,4.01,3.54
33,1977,Oct,12,135,82,0,25,4.51,4.00,3.43,3.40,3.29
34,1978,Oct,12,149,193,1,56,5.58,3.30,3.30,3.09,3.01
35,1979,Oct,12,127,234,2,51,4.73,4.73,4.52,4.28,4.14
36,1980,Oct,12,106,156,0,20,3.60,3.52,3.01,3.01,2.92
37,1981,Oct,12,108,118,0,7,3.30,2.49,2.47,2.44,2.40
38,1982,Oct,10,83,74,4,27,5.84,4.85,4.59,4.54,3.77
39,1983,Oct,12,112,162,0,48,4.42,4.31,4.20,3.71,3.40
40,1984,Oct,12,87,80,3,35,4.90,4.65,4.54,3.88,3.86
41,1985,Oct,13,111,166,12,88,6.49,6.35,5.50,5.19,5.05
42,1986,Oct,11,128,188,14,125,5.93,5.73,5.53,5.27,4.99
43,1987,Oct,11,131,45,5,25,7.40,6.80,5.73,5.22,4.54
44,1988,Oct,12,140,87,6,29,7.91,5.75,5.64,4.65,4.59
45,1989,Oct,12,141,102,16,85,7.85,7.65,7.40,7.26,6.32
46,1990,Oct,10,113,75,12,49,7.68,6.58,6.46,6.24,5.84
47,1991,Oct,12,104,28,1,16,6.18,4.31,3.97,3.37,3.20
48,1992,Nov,12,103,82,11,64,8.31,8.28,8.05,6.63,5.75
49,1993,Oct,11,117,35,6,25,6.83,5.73,5.41,5.16,4.73
50,1994,Oct,11,104,39,6,28,7.88,6.49,6.12,5.64,5.10
51,1995,Oct,11,65,22,0,19,3.97,3.88,3.77,3.63,3.54
52,1996,Oct,10,85,95,13,76,8.96,6.58,6.52,6.10,5.90
53,1997,Oct,12,81,69,17,55,9.84,7.85,7.71,6.92,6.72
54,1998,Nov,5,85,22,1,,4.56,4.28,3.88,3.29,3.23
55,1999,Nov,4,73,22,10,18,5.78,5.61,5.56,4.62,5.39
56,2000,Nov,4,83,18,1,9,5.41,3.71,3.49,3.26,3.15
57,2001,Nov,7,90,33,4,25,5.27,4.99,4.69,4.54,4.37
58,2002,Nov,10,95,80,5,65,5.95,4.99,4.96,4.76,4.73
59,2003,Nov,10,107,20,0,15,4.08,4.00,3.60,3.43,2.83
60,2004,Nov,10,96,36,5,31,6.49,5.93,5.41,5.05,4.76
61,2005,Oct,10,83,32,0,19,3.66,3.63,3.52,3.52,3.09
62,2006,Oct,10,71,22,2,8,5.16,4.99,3.88,3.01,2.78
63,2007,Oct,10,68,99,3,47,5.24,5.13,4.65,3.71,3.63
64,2008,Oct,10,66,35,4,33,6.95,5.70,5.22,5.02,4.51
65,2009,Oct,10,59,10,0,7,2.89,2.89,2.86,2.66,2.66
66,2010,,10,70,4,0,4,4.31,3.66,3.43,2.61,
67,2011,,10,52,6,2,4,5.24,4.62,3.37,2.27,2.07
68,2012,,10,46,23,1,14,5.24,4.42,3.69,3.26,3.26
69,2013,,10,46,20,0,12,4.28,3.66,3.49,,
70,2014,,9,35,7,1,6,6.15,3.66,3.54,3.46,2.72
,2015,,,,,,,,,,,
71,2016,,7,35,9,1,6,4.56,3.94,2.27,2.21,2.13
72,2017,,8,28,18,0,7,4.51,2.83,2.61,2.38,2.32
73,2018,,2,27,4,0,2,2.81,2.32,2.15,1.96,
74,2019,,8,29,2,0,2,4.28,2.64,,,
