year,NOR,HOR,total,size
1970,"139,732",62312,202044,8.11
1971,"145,014",89611,234625,7.95
1972,81761,119541,201302,8.67
1973,69824,87933,157756,8.55
1974,60814,83352,144166,8.28
1975,59537,103851,163388,8.86
1976,59726,96418,156144,8.33
1977,69961,130781,200742,7.57
1978,72053,136018,208071,8.11
1979,57694,149125,206819,7.76
1980,52888,153007,205895,7.19
1981,70438,137936,208374,7.81
1982,77627,182371,259998,7.72
1983,48177,167535,215711,6.53
1984,52352,162627,214980,6.25
1985,56933,141580,198513,7.57
1986,46896,211705,258601,7.76
1987,65857,200347,266204,8.1
1988,56057,188992,245049,6.97
1989,58283,162521,220804,6.45
1990,76912,143622,220534,7.31
1991,63990,212482,276473,6.86
1992,59451,237205,296656,7.58
1993,45618,121771,167389,6.37
1994,31186,87782,118968,7.99
1995,25923,106849,132772,6.92
1996,27230,115381,142610,6.29
1997,35018,147866,182884,8
1998,34729,139089,173818,8.75
1999,28130,134761,162890,6.15
2000,42193,139310,181503,6.66
2001,37444,190812,228256,5.68
2002,44124,136435,180559,7.5
2003,48410,218513,266923,7.89
2004,53636,214058,267694,7.92
2005,29827,178525,208352,7.52
2006,54660,162945,217605,7.9
2007,42453,176759,219212,7.05
2008,44670,230418,275088,6.76
2009,30403,253149,283552,8.05
2010,41656,197902,239558,7.53
2011,24792,161055,185847,6.03
2012,22015,187458,209473,5.81
2013,19711,198444,218154,6.28
2014,31197,237046,268243,6.84
2015,24829,221517,246345,5.61
2016,21129,113189,134319,
2017,28373,120786,149159,
